rpt_title,menu_id,standard,select_scr,query,form_name,summaryflg,workareas,globl_vars,messagelin,comment,entered_by,lupdate
"Account History","Customer History Rep",T,"DATE_SEL.SPR","SELECT *, ;||	PADR(get_cust_po(order_key), 12) AS cust_po_no, ;||	PADR(getinvoice(order_key), 13) AS invoicestr, ;|| 	PADR(getrcptdet(receipt_no),40) AS rcptdetail ;|| FROM ldgrtran ;|| WHERE acct_type = "A" ;||   AND NOT DELETED() ;||   AND account_no =","ACCOUNTS.FRX",F,4,"","Generates an account history report for the currently displayed customer.","","***",9/10/1997
"Accounts Received","Report Receivables",T,"DATE_SEL.SPR","SELECT * ;|| FROM receipt ;|| WHERE receipt.recpt_date >= m.start_date ;||   AND receipt.recpt_date <= m.end_date ;||   <<select_str>>;|| ORDER BY customerno, recpt_type, recpt_date ;|| INTO CURSOR chksncash||","ACCTRECV.FRX",F,5,"","Reports receipts by receipt type.","","***",1/2/2001
"Active Subscription Labels","Print Subscriptions",T,"SUBSCSEL.SPR","  SELECT DISTINCT ;||	" " AS special, ;||	PADR(get_addr(shptocntct), 210) AS address, ;||	orders.shptocntct, ;||	contact.company, ;||	contact.last_name, ;||	contact.zip_code ;||  FROM orders ;||    JOIN ordritem ON orders.order_key = ordritem.order_key ;","LASERX3.LBX",F,5,"","Generates mailing labels for active subscribers.","This report has no query of its own.  It depends on the data being selected from the Process Subscriptions Screen from which it is called.","***",4/26/2007
"Active Subscription Report","Print Subscriptions",T,"SUBSCSEL.SPR","  SELECT ;||    UPPER(contact.company) AS sort1, ;||    UPPER(contact.last_name) AS sort2, ;||    UPPER(contact.first_name) AS sort3, ;||	orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date, ;||	orders.comment AS comment,","SUBSCRIP.FRX",F,4,"","Reports a list of active subscribers and some summary statistics.","This report is now the basis for processing subscriptions.","***",4/26/2007
"Adjustments/Shipping Received","Report Receivables",T,"DATE_SEL.SPR","SELECT 	contact.company, ;||	contact.first_name, ;||	contact.last_name, ;||	orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.adjustmnt1, ;||	orders.adjustmnt2, ;||	orders.shipcharge, ;||	MAX(receipt.recpt_date) AS order_date, ;||	","ADJSHIP.FRX",F,5,"","Reports adjustments and shipping charges that have been received in a selected date range.","","***",2/18/2000
"Adjustments/Shipping Report","Report Receivables",T,"DATE_SEL.SPR","SELECT orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.adjustmnt1, ;||	orders.adjustmnt2, ;||	orders.shipcharge, ;||	orders.order_date, ;||	contact.company, ;||	contact.first_name, ;||	contact.last_name ;||FROM orders JOIN contac","ADJSHIP.FRX",F,5,"","Reports adjustments and shipping charges on orders in a selected date range.","","***",9/10/1997
"Aging Receivables","Report Receivables",T,"ORDERSEL.SPR","SELECT 	;||	UPPER(contact.company) AS SORT1, ;||	UPPER(contact.LAST_NAME) AS SORT2, ;||	UPPER(contact.FIRST_NAME) AS SORT3, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date, ;||	orders.ship_date, ;||	orders.terms, ;||	IIF(INLIST(orders.t","ARAGING.FRX",F,4,"","Generates an "aging" report of selected accounts receivables.","This report looks at the invoice balances for unpaid invoices and categorizes them by order date into current, over 30, 60, 90, and 120 day periods. ||||The query features a new subquery to eliminate receipts that were received after the submitted END_DA","***",1/7/2010
"Aging Receivables for Titles","Report Receivables",T,"TITLESEL.SPR","SELECT 	;||	orders.customerno AS account_no, ;||	contact.company, ;||	contact.LAST_NAME, ;||	contact.FIRST_NAME, ;||	contact.city, ;||	contact.zip_code, ;||	order_no, ;||	invoice_no, ;||	order_date, ;||	ship_date, ;||	orders.total, ;||	SUM(IIF(ISNULL(ord","AGING.FRX",T,4,"","Reports customers with aging receivables who have purchased the selected titles.","This report works the same as the "Aging Receivables" report, except that it limits the search to invoices that contain the selected titles.","***",4/25/2003
"All Contacts Sorted by Name","Marketing Reports",T,"CNTCTSEL.SPR","SELECT ;||	contact_no, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	phone, ;||	phone2, ;||	email, ;||	web_ur","MAILLIST.FRX",F,3,"","Generates a list of selected contacts sorted by company and contact name.","Generates the mailing list in report form.  Contacts are listed alphabetically by company then last name.","***",5/8/2000
"Alternate royalty report","Report Payables",T,"AUTHORSE.SPR","	SELECT ;||		  	contact.last_name, ;||			contact.first_name, ;||			contact.company, ;||			ryltyspc.author_no, ;||			title.title_id, ;||			title.title, ;||			title.ret_price, ;||			ryltyspc.spec_no, ;||			ryltyspc.threshold, ;||			ryltyspc.discount, ;||		","ALTROYALTY.FRX",T,4,"royalty","Generates a Royalty Statement summarized by title and selling price.","","***",5/12/2004
"Archived Contacts Listing","None",T,"","SELECT contact.* ;|| FROM contact, cntctarc ;|| WHERE contact.contact_no = cntctarc.contact_no ;   || ORDER BY company, last_name, first_name ;|| INTO CURSOR accounts","ACCTLST2.FRX",F,4,"","","Generates the mailing list in report form.  Contacts are listed alphabetically by company then last name.","***",9/10/1997
"Archived Customer Returns","None",T,"","SELECT * ;||  FROM orders, ordritem, returnarc ;||  WHERE order_type = "R" ;||    AND order_no != 0 ;||    AND ordritem.order_key = orders.order_key ;||    AND orders.order_key = returnarc.order_key ;||  INTO CURSOR returns","PO.FRX",F,5,"","","This report uses the RETURNARC cursor created in the RETRNARC routine to select the customer returns that are about to be archived.","***",2/2/1998
"Archived Inventory Corrections","None",T,"","SELECT ordritem.* ;||  FROM ordritem, invadjarc ;||  WHERE ordritem.item_no = invadjarc.item_no ;||  ORDER BY title_id, condition, order_date ;||  INTO CURSOR invcorrect","INVCORRE.FRX",F,5,"","","","***",9/10/1997
